id,title,price,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode
MLA1406651145,"Nintendo Switch Oled 64gb Standard  Color Rojo Neón, Azul Neón Y Negro",542500,803086-MLA47920649105_102021,MLA18537258,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-oled-64gb-standard-color-rojo-neon-azul-neon-y-negro/p/MLA18537258,buy_it_now
MLA1765264422,Nintendo  Lite Switch Lite 32gb Standard  Color Azul,379000,770609-MLU72631430362_112023,MLA17974763,gold_pro,https://www.mercadolibre.com.ar/nintendo-lite-switch-lite-32gb-standard-color-azul/p/MLA17974763,buy_it_now
MLA1708659978,Nintendo Switch Oled 64gb Standard Color  Blanco Y Negro Color Blanco/negro,520999,893301-MLU73673322011_122023,MLA24560884,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-oled-64gb-standard-color-blanco-y-negro-color-blanconegro/p/MLA24560884,buy_it_now
MLA1138762242,Consola Nintendo Switch 32 Gb Standard Edition Neon Color Rojo Neón/azul Neón/negro,536290,851350-MLU72566095456_112023,MLA24529032,gold_pro,https://www.mercadolibre.com.ar/consola-nintendo-switch-32-gb-standard-edition-neon-color-rojo-neonazul-neonnegro/p/MLA24529032,buy_it_now
MLA1614035042,Nintendo Lite Switch Lite Gris,294500,897561-MLU74134685872_012024,MLA15191030,gold_special,https://www.mercadolibre.com.ar/nintendo-lite-switch-lite-gris/p/MLA15191030,buy_it_now
MLA1764175942,Nintendo  Lite Switch Lite 32gb Standard  Color Amarillo,399900,985086-MLA40176282270_122019,MLA15191029,gold_pro,https://www.mercadolibre.com.ar/nintendo-lite-switch-lite-32gb-standard-color-amarillo/p/MLA15191029,buy_it_now
MLA1425380799,Nintendo  Lite Switch Lite 32gb Standard  Color Coral,368000,731807-MLA41826814268_052020,MLA15716437,gold_pro,https://www.mercadolibre.com.ar/nintendo-lite-switch-lite-32gb-standard-color-coral/p/MLA15716437,buy_it_now
MLA1313937571,Nintendo Switch Oled 64gb Pokémon Scarlet & Violet Edition  Color Rojo Y Violeta Y Negro,553000,861220-MLA74652675120_022024,MLA19879748,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-oled-64gb-pokemon-scarlet-violet-edition-color-rojo-y-violeta-y-negro/p/MLA19879748,buy_it_now
MLA1368533337,Nintendo Switch Oled 64gb The Legend Of Zelda: Tears Of The Kingdom Edition  Color Verde Y Dorado Y Negro,572500,988875-MLA54985714572_052023,MLA23001921,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-oled-64gb-the-legend-of-zelda-tears-of-the-kingdom-edition-color-verde-y-dorado-y-negro/p/MLA23001921,buy_it_now
MLA1742255318,Nintendo  Lite Switch Lite 32gb Standard  Color Turquesa,399000,827500-MLA40176358181_122019,MLA15191031,gold_pro,https://www.mercadolibre.com.ar/nintendo-lite-switch-lite-32gb-standard-color-turquesa/p/MLA15191031,buy_it_now
