id,title,price,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode
MLA1413189069,Sony Playstation 5 825gb Standard Color Blanco Y Negro,1094999,970261-MLU74424378377_022024,MLA32315923,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-standard-color-blanco-y-negro/p/MLA32315923,buy_it_now
MLA1425493503,Sony Playstation 5 825gb God Of War Ragnarok Bundle Color Blanco/negro,1349997,700033-MLA69689802995_052023,MLA19917557,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-god-of-war-ragnarok-bundle-color-blanconegro/p/MLA19917557,buy_it_now
MLA1426269909,Sony Playstation 5 Slim 1tb Spiderman 2 Color Blanco Digital,1078500,774719-MLU75719498026_042024,MLA28445689,gold_special,https://www.mercadolibre.com.ar/sony-playstation-5-slim-1tb-spiderman-2-color-blanco-digital/p/MLA28445689,buy_it_now
MLA1376582277,Sony Playstation 5 825gb Fifa 23 Bundle  Color Blanco Y Negro,1077349,903197-MLA52130422147_102022,MLA19731774,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-fifa-23-bundle-color-blanco-y-negro/p/MLA19731774,buy_it_now
MLA1396456631,Sony Playstation 5 825gb Marvels Spider Man 2 Limited Edition  Color Rojo Y Negro,1126049,980725-MLU72637174071_112023,MLA26081587,gold_special,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-marvels-spider-man-2-limited-edition-color-rojo-y-negro/p/MLA26081587,buy_it_now
MLA1747903612,Sony Playstation 5 Slim 1tb Standard  Color Blanco,1034999,801230-MLU73257094513_122023,MLA28616777,gold_special,https://www.mercadolibre.com.ar/sony-playstation-5-slim-1tb-standard-color-blanco/p/MLA28616777,buy_it_now
MLA1766447006,Sony Playstation 5 Slim 1tb Digital Color Blanco,1299999,970771-MLA73347645092_122023,MLA29001054,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-slim-1tb-digital-color-blanco/p/MLA29001054,buy_it_now
MLA1398474924,Sony Playstation 5 825gb Digital Edition  Color Blanco Y Negro,1273990,782912-MLU74196247619_012024,MLA16253015,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-825gb-digital-edition-color-blanco-y-negro/p/MLA16253015,buy_it_now
MLA1384315857,Sony Playstation 5 Standard 825gb Ps5 + Juego Fifa 2023 Color Blanco,1071849,757020-MLU71094570314_082023,MLA26120296,gold_pro,https://www.mercadolibre.com.ar/sony-playstation-5-standard-825gb-ps5-juego-fifa-2023-color-blanco/p/MLA26120296,buy_it_now
MLA1680832408,Sony Playstation 5 Slim 1tb Extra Dualsense Controller  Color Blanco,1199999,821666-MLA74019269225_012024,MLA29725752,gold_special,https://www.mercadolibre.com.ar/sony-playstation-5-slim-1tb-extra-dualsense-controller-color-blanco/p/MLA29725752,buy_it_now
MLA1599827722,Playstaion 5 - Ps5 Cfi1215 + God Of War Ragnarök Sony,1667259,930373-MLA74846391278_032024,MLA27310686,gold_pro,https://www.mercadolibre.com.ar/playstaion-5-ps5-cfi1215-god-of-war-ragnarok-sony/p/MLA27310686,buy_it_now
MLA1592848952,Sony Playstation 5 Slim 1tb Call Of Duty: Modern Warfare Iii Bundle  Color Blanco,1249999,801378-MLA74676703616_022024,MLA28468544,gold_special,https://www.mercadolibre.com.ar/sony-playstation-5-slim-1tb-call-of-duty-modern-warfare-iii-bundle-color-blanco/p/MLA28468544,buy_it_now
MLA1370698402,Sony Playstation 5 825gb God Of War Ragnarok Bundle,1099999,814090-MLA54355520378_032023,MLA19917556,gold_special,https://articulo.mercadolibre.com.ar/MLA-1370698402-sony-playstation-5-825gb-god-of-war-ragnarok-bundle-_JM,buy_it_now
MLA1388346570,Sony Playstation 5 825gb Standard Color Blanco Y Negro,969998.99,655630-MLA68837204403_042023,MLA16171887,gold_special,https://articulo.mercadolibre.com.ar/MLA-1388346570-sony-playstation-5-825gb-standard-color-blanco-y-negro-_JM,buy_it_now
