id,title,price,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode
MLA1700032138,Consola Xbox Series S 512gb Digital Blanco,679529,884872-MLU72604144324_112023,MLA16650345,gold_pro,https://www.mercadolibre.com.ar/consola-xbox-series-s-512gb-digital-blanco/p/MLA16650345,buy_it_now
MLA1426257403,Microsoft Xbox Series S 512gb Bundle 3 Meses Game Pass  Color Blanco,599000,711208-MLU74110320165_012024,MLA28571311,gold_special,https://www.mercadolibre.com.ar/microsoft-xbox-series-s-512gb-bundle-3-meses-game-pass-color-blanco/p/MLA28571311,buy_it_now
MLA1426141873,Consola Xbox One S Edicion Especial Fornite 512gb  Original,1214998.65,889990-MLA76328204719_052024,MLA16650344,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1426141873-consola-xbox-one-s-edicion-especial-fornite-512gb-original-_JM,buy_it_now
MLA1700734558,Consola Xbox One S Edicion Especial Fornite 512gb  Original,791999.12,805929-MLU72675217442_112023,MLA16650344,gold_special,https://articulo.mercadolibre.com.ar/MLA-1700734558-consola-xbox-one-s-edicion-especial-fornite-512gb-original-_JM,buy_it_now
MLA1417622449,Consola-xbox-series-s-1tb Negro,1100000,731787-MLA75234095096_032024,MLA16650344,gold_special,https://articulo.mercadolibre.com.ar/MLA-1417622449-consola-xbox-series-s-1tb-negro-_JM,buy_it_now
MLA1407286993,Xbox One S 500 Gb Con Lectora Y 1 Joystick ,380000,615929-MLA74308962646_022024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1407286993-xbox-one-s-500-gb-con-lectora-y-1-joystick-_JM,buy_it_now
MLA1767852644,Xbox One S 500 Gb Con Lectora Y 3 Joystick ,440000,825318-MLA76095074462_052024,MLA6483219,gold_special,https://articulo.mercadolibre.com.ar/MLA-1767852644-xbox-one-s-500-gb-con-lectora-y-3-joystick-_JM,buy_it_now
MLA1426181043,Xbox One S + Joystick,360000,723539-MLA76328240867_052024,MLA21206939,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1426181043-xbox-one-s-joystick-_JM,buy_it_now
MLA1770379788,Xbox One S De 1 Tb Con Dos Controles,450000,798660-MLA76141455964_052024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1770379788-xbox-one-s-de-1-tb-con-dos-controles-_JM,buy_it_now
MLA1634854022,Xbox One  500gb Americana + 2 Joysticks + 3 Juegos,300000,994073-MLA53370027047_012023,MLA6483219,gold_special,https://articulo.mercadolibre.com.ar/MLA-1634854022-xbox-one-500gb-americana-2-joysticks-3-juegos-_JM,buy_it_now
MLA1746607234,Xbox One S - Excelente Estado,330000,769772-MLA75750289472_042024,,gold_special,https://articulo.mercadolibre.com.ar/MLA-1746607234-xbox-one-s-excelente-estado-_JM,buy_it_now
MLA1762551488,Xbox One S 500gb 2 Controles,330000,704753-MLA76009046924_052024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1762551488-xbox-one-s-500gb-2-controles-_JM,buy_it_now
MLA1751282720,Xbox One Serie S 512gb ,560000,911926-MLA75990765241_042024,MLA23238938,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1751282720-xbox-one-serie-s-512gb-_JM,buy_it_now
MLA1403223363,Xbox One S 1tb Con 1 Mando Con Kit De Cargado,360000,995195-MLA74088009045_012024,MLA24520655,gold_special,https://articulo.mercadolibre.com.ar/MLA-1403223363-xbox-one-s-1tb-con-1-mando-con-kit-de-cargado-_JM,buy_it_now
MLA1760038170,Microsoft Xbox One S 500 Gb - Muy Poco Uso,380000,945016-MLA75635043080_042024,,gold_special,https://articulo.mercadolibre.com.ar/MLA-1760038170-microsoft-xbox-one-s-500-gb-muy-poco-uso-_JM,buy_it_now
MLA1369055172,Xbox One S,400000,802771-MLA49963061280_052022,MLA15584865,gold_special,https://articulo.mercadolibre.com.ar/MLA-1369055172-xbox-one-s-_JM,buy_it_now
MLA1425784809,Xbox Serie S 512 Con 2 Controles Como Nueva ¡en Caja!,850000,789027-MLA76277180495_052024,MLA6483219,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1425784809-xbox-serie-s-512-con-2-controles-como-nueva-en-caja-_JM,buy_it_now
